post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47657699,SideX – A Tauri-based port of Visual Studio Code,technology,30,14,0x1997,2026-04-06 12:53:23,0.45161290322580644,False
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,337,31,armanified,2026-04-06 12:53:25,0.09171597633136094,True
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,198,120,nevernothing,2026-04-06 12:53:28,0.6030150753768844,True
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,63,21,keepamovin,2026-04-06 12:53:31,0.328125,False
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,40,5,zdw,2026-04-06 12:53:33,0.12195121951219512,False
47637377,LÖVE: 2D Game Framework for Lua,sports,273,108,cl3misch,2026-04-06 12:53:34,0.39416058394160586,True
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,45,2,karimf,2026-04-06 12:53:35,0.043478260869565216,False
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,57,10,ikessler,2026-04-06 12:53:38,0.1724137931034483,False
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,43,10,salt4034,2026-04-06 12:53:40,0.22727272727272727,False
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,248,59,vbtechguy,2026-04-06 12:53:42,0.23694779116465864,True
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,40,7,mohshomis,2026-04-06 12:53:44,0.17073170731707318,False
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,170,80,thisislife2,2026-04-06 12:53:46,0.4678362573099415,True
47656659,Media scraper Gallery-dl is moving to Codeberg after receiving a DMCA notice,technology,115,31,MoltenMonster,2026-04-06 12:53:47,0.2672413793103448,False
47652322,Music for Programming,entertainment,160,70,merusame,2026-04-06 12:53:49,0.43478260869565216,True
47650312,A tail-call interpreter in (nightly) Rust,technology,153,30,g0xA52A2A,2026-04-06 12:53:52,0.19480519480519481,True
47648828,"Eight years of wanting, three months of building with AI",technology,751,227,brilee,2026-04-06 12:53:55,0.30186170212765956,True
47650502,Computational Physics (2nd Edition) (2025),science,134,17,teleforce,2026-04-06 12:53:56,0.1259259259259259,False
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,183,24,desideratum,2026-04-06 12:54:02,0.13043478260869565,True
47656335,Does coding with LLMs mean more microservices?,technology,10,0,jer0me,2026-04-06 12:54:05,0.0,False
47657198,Scientists found a protein that drives brain aging – and how to stop it,technology,11,1,mikhael,2026-04-06 12:54:11,0.08333333333333333,False
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,859,571,zaikunzhang,2026-04-06 12:54:17,0.663953488372093,True
47657652,China fell for a lobster: What an AI assistant tells us about Beijing's ambition,technology,5,0,tmoravec,2026-04-06 12:54:18,0.0,False
47655721,LLMs can't justify their answers–this CLI forces them to,technology,9,9,volatilityfund,2026-04-06 12:54:19,0.9,False
47652549,Iran's IRGC Publishes Satellite Imagery of OpenAI's $30B Stargate Datacenter,technology,37,13,alvivanco,2026-04-06 12:54:20,0.34210526315789475,False
47655058,OpenAI's fall from grace as investors race to Anthropic,technology,144,99,1vuio0pswjnm7,2026-04-06 12:54:22,0.6827586206896552,False
47655078,Show HN: Mdarena – Benchmark your Claude.md against your own PRs,technology,16,1,hudsongr,2026-04-06 12:54:28,0.058823529411764705,False
47651479,From birds to brains: My path to the fusiform face area (2024),technology,35,0,everbody,2026-04-06 12:54:30,0.0,False
47640728,Show HN: A game where you build a GPU,technology,909,178,Jaso1024,2026-04-06 12:54:34,0.1956043956043956,True
47636765,Endian wars and anti-portability: this again?,technology,44,49,awilfox,2026-04-06 12:54:35,1.0888888888888888,False
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,70,7,lexalizer,2026-04-06 12:54:46,0.09859154929577464,False
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,504,229,naves,2026-04-06 12:54:47,0.4534653465346535,True
47655155,'Cognitive Surrender' Is a New and Useful Term for How AI Melts Brains,technology,35,7,mikhael,2026-04-06 12:54:50,0.19444444444444445,False
47645025,Show HN: Contrapunk – Real-time counterpoint harmony from guitar input,entertainment,112,49,waveywaves,2026-04-06 12:54:51,0.4336283185840708,False
47648404,My Google Workspace account suspension,science,345,197,zenincognito,2026-04-06 12:54:53,0.569364161849711,True
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,159,26,laszlokorte,2026-04-06 12:54:54,0.1625,True
47655480,Make Humans Analog Again,technology,5,0,muunbo,2026-04-06 12:54:55,0.0,False
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1076,816,firloop,2026-04-06 12:55:05,0.7576601671309192,True
47654219,TreeSheets: Free Form Data Organizer (Hierarchical Spreadsheet),technology,7,0,n3t,2026-04-06 12:55:07,0.0,False
47653471,"Musician says AI company is cloning her music, filing claims against her",entertainment,108,18,lando2319,2026-04-06 12:55:08,0.1651376146788991,False
47645432,Introduction to Computer Music (2009) [pdf],entertainment,222,78,luu,2026-04-06 12:55:25,0.34977578475336324,True
47613118,Show HN: I built a small app for FSI German Course,entertainment,50,15,syedmsawaid,2026-04-06 12:55:27,0.29411764705882354,False
47653036,Satellite firm Planet Labs to indefinitely withold Iran war imagery,worldnews,38,9,anigbrowl,2026-04-06 12:55:28,0.23076923076923078,False
47629485,A case study in testing with 100+ Claude agents in parallel,science,63,49,thejash,2026-04-06 12:55:45,0.765625,False
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,154,16,kaipereira,2026-04-06 12:56:01,0.1032258064516129,True
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",entertainment,179,89,jrandolf,2026-04-06 12:56:05,0.49444444444444446,True
47625952,Show HN: I built a frontpage for personal blogs,entertainment,769,193,ramkarthikk,2026-04-06 12:56:06,0.2506493506493506,True
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,215,143,pseudolus,2026-04-06 12:56:17,0.6620370370370371,True
47624645,Show HN: Apfel – The free AI already on your Mac,entertainment,729,150,franze,2026-04-06 12:56:20,0.2054794520547945,True
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-06 12:56:21,0.16,False
47650894,"Show HN: Gecit – DPI bypass using eBPF sock_ops, no proxy or VPN",entertainment,7,1,boratanrikulu,2026-04-06 12:56:45,0.125,False
47611993,VR Realizes the Cyberspace Metaphor,science,17,17,dryadin,2026-04-06 12:56:48,0.9444444444444444,False
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,161,6,teamchong,2026-04-06 12:56:51,0.037037037037037035,True
47650234,Panorama – AI that finds your team's workflows and hidden structures,sports,6,0,bryantwolf,2026-04-06 12:57:01,0.0,False
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,72,40,1659447091,2026-04-06 12:57:02,0.547945205479452,False
47650273,"Meta, Google under attack as court cases bypass 30-year-old legal shield",worldnews,17,9,1vuio0pswjnm7,2026-04-06 12:57:15,0.5,False
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,545,181,detaro,2026-04-06 12:57:17,0.3315018315018315,True
47641615,Sopwith – 1984 Game (2000),sports,97,42,elvis70,2026-04-06 12:57:21,0.42857142857142855,False
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-06 12:57:26,0.9384615384615385,False
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,worldnews,151,45,jackson-mcd,2026-04-06 12:57:27,0.29605263157894735,True
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,589,207,pretext,2026-04-06 12:57:31,0.35084745762711866,True
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,781,365,hkmaxpro,2026-04-06 12:57:32,0.46675191815856776,True
47638147,"Show HN: Pluck – Copy any UI from any website, paste it into AI coding tools",entertainment,19,17,bring-shrubbery,2026-04-06 12:57:44,0.85,False
47648226,SpaceX and OpenAI: The Mega IPO Grift [video],science,26,10,throw0101c,2026-04-06 12:57:59,0.37037037037037035,False
47653816,UK intelligence censored report on global warming and homeland security,worldnews,92,49,ewidar,2026-04-06 12:58:06,0.5268817204301075,False
47651140,Ask HN: Where are all the disruptive software that AI promised?,worldnews,15,12,p-o,2026-04-06 12:58:09,0.75,False
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,52,52,luca-ctx,2026-04-06 12:58:13,0.9811320754716981,False
47643637,Show HN: Dev Personality Test,entertainment,13,3,4m1rk,2026-04-06 12:58:15,0.21428571428571427,False
47642275,"Netflix must refund customers for years of price hikes, Italian court rules",entertainment,62,6,xbmcuser,2026-04-06 12:58:22,0.09523809523809523,False
47627419,The Axios supply chain attack used individually targeted social engineering,worldnews,47,11,cmitsakis,2026-04-06 12:58:23,0.22916666666666666,False
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,152,118,kasparnoor,2026-04-06 12:58:24,0.7712418300653595,True
47630109,Firm boosts H.264 streaming license fees from $100k up to staggering $4.5M,entertainment,193,75,MaximilianEmel,2026-04-06 12:58:25,0.3865979381443299,True
47640770,Show HN: DocMason – Agent Knowledge Base for local complex office files,entertainment,11,0,Jet_Xu,2026-04-06 12:58:31,0.0,False
47635033,Show HN: Travel Hacking Toolkit – Points search and trip planning with AI,entertainment,95,39,borski,2026-04-06 12:58:41,0.40625,False
47656678,"Musk asks SpaceX IPO banks to buy Grok AI subscriptions, NYT reports",science,7,0,1vuio0pswjnm7,2026-04-06 12:58:45,0.0,False
47604155,SpaceX files to go public,science,398,575,nutjob2,2026-04-06 12:58:51,1.4411027568922306,True
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,worldnews,45,24,tosh,2026-04-06 12:58:52,0.5217391304347826,False
47644934,"Delve claiming that whistleblower was part of a ""targeted cyberattack""",worldnews,6,2,rrvsh,2026-04-06 12:59:03,0.2857142857142857,False
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,296,148,Growtika,2026-04-06 12:59:06,0.4983164983164983,True
47651019,PS3 emulator makes Cell CPU breakthrough that improves performance in all games,sports,8,0,gloxkiqcza,2026-04-06 12:59:35,0.0,False
47648102,Every dependency you add is a supply chain attack waiting to happen,worldnews,8,0,birdculture,2026-04-06 12:59:49,0.0,False
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",science,98,42,Bender,2026-04-06 12:59:58,0.42424242424242425,False
47651502,The Therac-25 software radiation disaster,worldnews,7,2,bithavoc,2026-04-06 13:00:20,0.25,False
47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,worldnews,132,10,01-_-,2026-04-06 13:00:22,0.07518796992481203,False
47650022,Banray.eu: Raising awareness of the terrible idea that is always-on AI glasses,worldnews,35,18,ChrisArchitect,2026-04-06 13:00:36,0.5,False
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,worldnews,36,7,j0rg3,2026-04-06 13:00:42,0.1891891891891892,False
47642552,Nandgame – Build a Computer from Scratch,sports,6,0,Vortigaunt,2026-04-06 13:00:48,0.0,False
47616157,Software never had a soul,worldnews,20,17,firloop,2026-04-06 13:00:50,0.8095238095238095,False
47645926,The Spaceballs sequel will be released in April next year,science,8,1,WaitWaitWha,2026-04-06 13:00:56,0.1111111111111111,False
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-06 13:00:58,0.753731343283582,False
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-06 13:01:00,0.14634146341463414,False
47654226,Trump proposes steep cut to NASA budget as astronauts head for the Moon,science,8,0,rbanffy,2026-04-06 13:01:05,0.0,False
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,14,10,bookmtn,2026-04-06 13:01:26,0.6666666666666666,False
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",sports,25,14,arttaboi,2026-04-06 13:01:41,0.5384615384615384,False
47633734,ENiGMA½ BBS Software,worldnews,10,1,NuSkooler,2026-04-06 13:02:11,0.09090909090909091,False
47632901,Sandbox Strategy Game for AI,sports,6,0,Stefan_Golas,2026-04-06 13:02:22,0.0,False
47645696,Towards end-to-end automation of AI research,worldnews,6,0,hardmaru,2026-04-06 13:02:50,0.0,False
47602986,Show HN: Real-time dashboard for Claude Code agent teams,sports,76,28,simple10,2026-04-06 13:02:51,0.36363636363636365,False
47601310,"Iran war sparks renewables boom as Europeans rush to buy solar, heat pumps, EVs",worldnews,86,120,vrganj,2026-04-06 13:04:29,1.3793103448275863,False
47624879,Switzerland hosts 'CERN of semiconductor research',science,34,6,teleforce,2026-04-06 13:04:47,0.17142857142857143,False
